app_name,release_date,developer,item_id,price
Lost Summoner Kitty,2018,Kotoshiro,761140.0,4.99
Ironbound,2018,Secret Level SRL,643980.0,0.0
Real Pool 3D - Poolians,2017,Poolians.com,670290.0,0.0
弹炸人2222,2017,彼岸领域,767400.0,0.99
Battle Royale Trainer,2018,Trickjump Games Ltd,772540.0,3.99
SNOW - All Access Basic Pass,2018,Poppermost Productions,774276.0,9.99
SNOW - All Access Pro Pass,2018,Poppermost Productions,774277.0,18.99
SNOW - All Access Legend Pass,2018,Poppermost Productions,774278.0,29.99
Race,2018,RewindApp,768800.0,-10.0
Uncanny Islands,1900,Qucheza,768570.0,-10.0
Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018,Stegalosaurus Game Development,770380.0,10.99
Beach Rules,2018,Copperpick Studio,768880.0,3.99
Planetarium 2 - Zen Odyssey,2018,Ghulam Jewel,765320.0,2.99
The first thrust of God,2018,Apillo,773650.0,1.59
SNOW - Starter Pack,2018,Poppermost Productions,774271.0,14.99
The first thrust of God - All Aircrafts,2018,Apillo,773690.0,1.99
SNOW - Lifetime Pack,2018,Poppermost Productions,774279.0,59.99
The Warrior Of Treasures,2018,Tero Lunkka,768060.0,0.99
RC Plane 3 - Canyon Scenario,2017,FrozenPepper,775880.0,2.99
RC Plane 3 - F-53B,2017,FrozenPepper,775881.0,2.99
DinoBlaster,2018,Casey Labrack,653960.0,4.99
Robotpencil Presents: Understanding 3D for Concept,2018,,777910.0,4.99
Carmageddon Max Pack,1997,Stainless Games Ltd,282010.0,9.99
Half-Life,1998,Valve,70.0,9.99
Fallen Mage,2016,dev4play,752360.0,1.99
Lost Cities,2018,BlueLine Games,520680.0,-10.0
Twisted Enhanced Edition,2018,Games by Brundle,690410.0,-10.0
Vaporwave Simulator,2018,ETGgames,766850.0,0.99
Tactics Forever,2018,ProjectorGames,413120.0,-10.0
Christmas Santa Troubles,2017,Unknown Indie Devs,773120.0,-10.0
Underdone - Soundtrack,2018,The Commander,754360.0,8.99
Bitcoin Clicker,2018,"lalalaZero,Urbanoff",716110.0,0.99
Disciples II: Gallean's Return,2006,Strategy First,1640.0,6.99
Disciples II: Rise of the Elves,2006,Strategy First,1630.0,6.99
The Ship: Murder Party,2006,Outerlight Ltd.,2400.0,9.99
United Tactics,1900,Zachary M Thomas,662570.0,-10.0
Life of Rome,2017,Breakout Studio,381620.0,-10.0
Idle Adventure,1900,"zha7,Phaedruns,Yingke Wu",714020.0,-10.0
Souland,2017,Ultraint,759920.0,7.99
Darkness and a Crowd,2018,Seth Albertus,659780.0,-10.0
TAROTICA VOO DOO,2017,TPM.CO SOFT WORKS,603280.0,10.99
Chronicles of Vinland,2017,Wonderbox Games,753110.0,9.99
Orbitality,2017,Wonderbox Games,753100.0,9.99
Atomic Adam: Episode 1,2017,Mad Unicorn Games,764280.0,1.99
Mirt. Tales of the Cold Land. Chapter 2,2017,Emanon Studios,758550.0,0.99
Advent Rising,2005,GlyphX Games,3800.0,9.99
DEFCON,2006,Introversion Software,1520.0,9.99
The Ship: Single Player,2006,Outerlight Ltd.,2420.0,9.99
Garry's Mod,2006,Facepunch Studios,4000.0,9.99
RACE - The WTCC Game,2006,SimBin,4230.0,39.99
Zen of Sudoku,2006,Unknown Worlds Entertainment,4900.0,0.0
Gumboy - Crazy Adventures™,2006,"CINEMAX, s.r.o.",2520.0,4.99
Ghost Master®,2003,Sick Puppies,6200.0,4.99
Vegas: Make It Big™,2006,Deepred,6210.0,4.99
Dreamfall: The Longest Journey,2006,Funcom,6300.0,19.99
FlatOut 2™,2006,Bugbear Entertainment,2990.0,9.99
FlatOut,2005,Bugbear Entertainment,6220.0,7.49
Lost Planet™: Extreme Condition,2007,"CAPCOM Co., Ltd.",6510.0,14.99
CivCity: Rome,2006,"FireFly Studios,Firaxis Games",3980.0,9.99
Arx Fatalis,2002,Arkane Studios,1700.0,4.99
The Longest Journey,2000,Funcom,6310.0,9.99
Civilization IV®: Warlords,2006,Firaxis Games,3990.0,4.99
Railroad Tycoon 3,2003,PopTop,7610.0,9.99
Sid Meier's Railroads!,2006,"Firaxis Games,Feral Interactive (Mac)",7600.0,9.99
Railroad Tycoon II Platinum,1998,PopTop,7620.0,4.99
RIP - Trilogy™,2007,Elephant Games,2540.0,4.99
X-COM: Terror From the Deep,1995,"MicroProse Software, Inc",7650.0,4.99
Tomb Raider: Anniversary,2007,"Crystal Dynamics,Feral Interactive (Mac)",8000.0,8.99
Devil May Cry® 3 Special Edition,2006,"CAPCOM Co., Ltd.",6550.0,19.99
Sam & Max 101: Culture Shock,2006,Telltale Games,8200.0,19.99
Final DOOM,1996,id Software,2290.0,4.99
Vigil: Blood Bitterness™,2007,Freegamer,2570.0,-10.0
Sam & Max 102: Situation: Comedy,2006,Telltale Games,8210.0,19.99
Ultimate Doom,1995,id Software,2280.0,4.99
Master Levels for Doom II,1995,id Software,9160.0,14.99
